country,total_national_populations,total_available_military_manpower,total_manpower_fir_for_military_service,total_population_reaching_military_age_annually,active_service_military_manpower,active_service_reserve_components,active_paramilitary_force_strength,total_military_aircraft_strength,total_fighter/interceptor_aircraft_strength,total_attack_aircraft_strength,total_military_transport_aircraft_strength,total_military_trainer_aircraft_strength,special_mission_aircraft_fleets,aerial_tanker_aircraft_fleet_strength,total_helicopter_strength,total_attack_helicopter_strength,total_combat_tank_strength,total_armored_fighting_vehicle_strength,total_self_propelled_artillery_strength,total_towed_artillery_strength,total_rocket_launcher_vehicle_strength,navy_strength,aircraft_carrier_strength,helicopter_carrier_strength,navy_submarine_strength,destroyer_warship_strength,navy_frigate_warship_strength,navy_corvette_warship_strength,navy_patrol_craft_strength,navy_mine_warfare_craft_strength,national_annual_defense_budgets,national_external_debts,purchasing_power_parities,national_reserves_of_foreign_exchange_and_gold,total_number_of_serviceable_airports,total_labor_force_strength,major_ports_and_terminals_totals,total_merchant_marine_strength,country_railway_coverage_totals,country_roadway_coverage_totals,oil_production_figures,oil_consumption_figures,total_proven_oil_reserves,natural_gas_production_figures,natural_gas_consumption_figures,total_proven_natural_gas_reserves,coal_production_figures,coal_consumption_figures,total_proven_coal_reserves,square_land_area,coastline_distances,total_shared_borders_by_countries,total_waterway_coverage_by_countries,country_code,capital_city,capital_city_population,rank,pwr_index
Kyrgyzstan,6122781,3122618,2467481,116333,23000,300000,55000,6,0,0,0,0,0,0,6,2,215,2772,64,306,36,0,0,0,0,0,0,0,0,0,165000000,10000000000,32221000000,2983000000,28,2478000,2,0,424,34000,700,35000,40000000,25542000.0,207845000.0,5663000000.0,2287000.0,1717000,971000000.0,199951,0,4573,576,KGZ,Bishkek,"1,082,000",100,2.0057
Laos,7852377,3455046,2489204,157048,100000,30000,120000,34,0,0,3,4,0,0,27,0,130,1880,40,87,64,45,0,0,0,0,0,0,42,0,40000000,15000000000,58264000000,1476000000,41,3915000,0,1,422,39568,0,20000,0,0.0,0.0,0.0,16040000.0,15823000,503000000.0,236800,0,5274,4600,LAO,Vientiane,"706,000",112,2.2071
Latvia,1821750,819788,655830,16396,17250,36000,12500,7,0,0,0,0,0,0,7,0,0,1544,59,0,0,18,0,0,0,0,0,0,11,6,1091592504,40164000000,60457000000,5491000000,42,955000,2,80,2216,70244,1600,40000,0,0.0,1067798000.0,0.0,0.0,39000,0.0,64589,498,1370,300,LVA,Riga,"625,000",99,1.9911
Lebanon,5331203,2079169,1764628,69306,60000,35000,65000,81,0,9,0,9,0,0,69,0,204,4522,84,374,30,69,0,0,0,0,0,0,44,0,995000000,35000000000,72577000000,35239000000,8,1719000,2,49,401,21705,0,170000,0,0.0,0.0,0.0,0.0,268000,0.0,10400,225,484,0,LBN,Beirut,"2,433,000",118,2.4283
Liberia,5358483,2422763,1938211,66075,1500,0,5500,0,0,0,0,0,0,0,0,0,0,325,0,0,0,6,0,0,0,0,0,0,6,0,12000000,826000000,7391000000,400383000,29,2289000,2,4311,429,10600,0,9500,0,0.0,0.0,0.0,0.0,0,0.0,111369,579,1667,0,LBR,Monrovia,"1,623,000",140,3.7262
Libya,7252573,3771338,3241900,123294,32000,0,100000,132,17,3,10,68,0,0,32,7,300,2890,10,65,55,7,0,0,0,0,1,1,1,2,3400000000,3020000000,147942000000,82262000000,146,2280000,5,94,2000,37000,1255000,220000,50000000000,12414736000.0,7669690000.0,1504868000000.0,0.0,0,0.0,1759540,1770,4339,0,LBY,Tripoli,"1,176,000",79,1.4449
Lithuania,2655755,1726241,1346468,37181,23000,104000,14150,9,0,0,5,0,0,0,4,0,0,1356,21,54,0,11,0,0,0,0,0,0,4,4,2225016300,40000000000,110089000000,5580000000,61,1476000,3,62,1911,84166,4000,70000,12000000,0.0,2230854000.0,0.0,0.0,221000,0.0,65300,90,1545,441,LTU,Vilnius,"541,000",88,1.7395
Luxembourg,660924,152013,91208,3305,1000,0,0,1,0,0,1,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,618877245,4300000000000,74045000000,2921000000,2,333900,1,149,271,2875,0,65000,0,0.0,776022000.0,0.0,0.0,65000,0.0,2586,0,327,37,LUX,Luxembourg,"120,000",109,2.1458
Madagascar,28812195,10948634,7779293,547432,13500,0,8100,5,0,0,0,0,0,0,5,0,12,232,0,0,0,8,0,0,0,0,0,0,9,0,110000000,3085000000,42322000000,2335000000,83,14813000,4,28,836,31640,0,21100,0,0.0,0.0,0.0,0.0,107000,0.0,587040,4828,0,600,MDG,Antananarivo,"3,700,000",133,3.0655
Malaysia,34219975,16083388,13345790,547520,113000,51600,100000,143,26,12,16,31,7,4,52,0,48,13965,0,196,36,101,0,0,2,0,2,6,72,4,4370000000,225000000000,884106000000,116916000000,114,16740000,9,1790,1851,144403,600000,720000,3600000000,74985350000.0,39586915000.0,1189306000000.0,2977000.0,35268000,226000000.0,329847,4675,2742,7200,MYS,Kuala Lumpur,"8,420,000",42,0.5992
Mali,21359722,6621514,4165146,341756,40000,0,4800,42,9,12,6,4,1,0,10,7,20,647,0,10,25,0,0,0,0,0,0,0,0,0,555000000,4192000000,46452000000,521750000,25,7900000,1,0,593,139107,0,40000,0,0.0,0.0,0.0,0.0,0,0.0,1240192,0,7908,1800,MLI,Bamako,"2,817,000",106,2.1115
Mauritania,4244878,1655502,1158852,80653,31540,66000,5000,24,0,4,7,7,2,0,4,0,0,1000,0,0,0,5,0,0,0,0,0,0,3,0,190000000,4150000000,24494000000,2039000000,30,1197000,2,11,728,12253,0,30000,20000000,0.0,0.0,28317000000.0,0.0,0,0.0,1030700,754,5002,1086,MRT,Nouakchott,"1,492,000",131,2.9277
Mexico,129875529,61041499,49482577,2207884,412000,98655,120000,462,3,33,45,201,25,0,178,0,0,17601,10,80,0,194,0,0,0,5,11,4,150,0,14824000000,456713000000,2418000000000,207799000000,1714,6132000,14,669,23389,704884,1905500,2000000,5800000000,27037730000.0,86101223000.0,180321000000.0,9886000.0,10241000,1211000000.0,1964375,9330,4389,2900,MEX,Mexico City,"22,281,000",31,0.4274
Moldova,3250532,1950319,1618765,65011,8500,67000,2000,3,0,0,1,0,0,0,2,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,80000000,7232000000,36637000000,3902000000,7,810000,0,126,1171,9352,0,22000,0,57000.0,2802400000.0,0.0,0.0,133000,0.0,33851,0,1885,558,MDA,Chisinau,"488,000",144,4.2311
Mongolia,3255468,1855617,1539836,61854,35000,135000,50000,11,0,0,3,2,0,0,6,0,470,3600,0,150,120,0,0,0,0,0,0,0,0,0,100000000,30000000000,39063000000,4380000000,44,1331000,0,314,1815,113200,17000,36000,0,0.0,0.0,0.0,43904000.0,8818000,2520000000.0,1564116,0,8082,580,MNG,Ulaanbaatar,"1,673,000",105,2.1079
Montenegro,602445,144587,85547,3615,2350,0,5500,11,0,0,0,0,0,0,11,0,0,662,0,12,12,13,0,0,0,0,0,0,5,0,115000000,2516000000,12757000000,1982000000,5,277400,1,18,250,7762,0,7600,0,0.0,0.0,0.0,1456000.0,1351000,142000000.0,13812,294,680,0,MNE,Podgorica,"177,000",129,2.9109
Morocco,37067420,17792362,15123507,630146,195800,150000,50000,255,83,0,30,71,4,2,70,0,1564,13710,565,306,208,121,0,0,0,0,6,1,22,0,12088000000,55000000000,303336000000,35648000000,62,11814000,7,93,2067,57300,0,310000,700000,105678000.0,1051658000.0,1444000000.0,0.0,9321000,14000000.0,715550,1835,2363,0,MAR,Rabat,"1,959,000",61,1.0081
Mozambique,32513805,14306074,7575717,520221,11200,0,3000,21,8,0,3,1,1,0,8,2,60,872,0,104,12,8,0,0,0,0,0,0,8,0,1045429092,11000000000,39351000000,67510000000,98,14137000,3,30,4787,31083,0,35500,0,5423828000.0,1397604000.0,2831680000000.0,7250000.0,46000,1792000000.0,799380,2470,4783,460,MOZ,Maputo,"1,163,000",92,1.8377
Myanmar,57970293,30724255,22144652,1043465,150000,20000,55000,293,58,26,31,93,5,0,80,9,705,8139,215,1868,586,227,0,0,3,0,6,3,124,2,2700000000,6594000000,216948000000,7670000000,64,22122000,3,102,5031,157000,8000,146200,140000000,17710912000.0,3612431000.0,637128000000.0,1468000.0,1981000,6000000.0,676578,1930,6522,12800,MMR,Rangoon,"5,610,000",35,0.5251
Namibia,2777232,610991,397144,30550,13000,0,5000,32,9,0,3,13,0,0,7,2,7,2674,0,50,7,8,0,0,0,0,0,2,5,0,365000000,8000000000,23120000000,2764000000,112,939000,2,15,2628,48875,0,26500,0,0.0,0.0,62297000000.0,0.0,38000,0.0,824292,1572,4220,0,NAM,Windhoek,"477,000",124,2.7652
Nepal,30899443,15140727,11649090,772486,95000,0,15000,15,0,0,5,0,0,0,10,0,0,2216,0,0,0,0,0,0,0,0,0,0,0,0,440000000,6000000000,115093000000,9661000000,47,16884000,0,0,59,27990,0,50000,0,0.0,0.0,0.0,28000.0,839000,1000000.0,147181,0,3159,0,NPL,Kathmandu,"1,571,000",128,2.8962
Netherlands,17463930,7858769,6374334,192103,41380,6765,5000,143,26,26,4,21,0,0,66,21,18,3176,49,23,0,112,0,0,3,0,6,0,4,6,12041380000,4345413000000,992675000000,64469000000,29,9902000,6,1175,3055,139124,76100,915500,140000000,32857597000.0,44752918000.0,132608000000.0,1879000.0,8241000,497000000.0,41543,451,1053,6237,NLD,Amsterdam,"1,174,000",40,0.5644
New Zealand,5109702,2197172,1757737,61316,8670,3250,300,47,0,0,6,13,6,0,22,0,0,4040,0,31,0,9,0,0,0,0,2,0,4,0,3300000000,190621000000,219839000000,16114000000,123,2911000,6,116,4128,94000,14000,185000,41000000,4771126000.0,4946237000.0,31148000000.0,3226000.0,3001000,7575000000.0,267710,15134,0,0,NZL,Wellington,"422,000",67,1.1844
Nicaragua,6359689,3116248,2645631,139913,45000,0,5500,17,0,0,5,1,0,0,11,0,20,3739,0,136,82,23,0,0,0,0,0,0,23,0,735000000,12000000000,38628000000,4047000000,147,3042000,2,5,0,23897,200,35000,0,0.0,0.0,0.0,0.0,0,0.0,130370,910,1253,2220,NIC,Managua,"1,095,000",120,2.4889
Niger,25396840,7619052,5104765,431746,25000,0,5000,24,0,2,7,0,2,0,13,1,0,912,0,0,0,0,0,0,0,0,0,0,0,0,250000000,4000000000,29964000000,1250000000,30,9411000,0,2,0,18949,8000,14000,150000000,0.0,0.0,0.0,224000.0,224000,6000000.0,1267000,0,5834,300,NER,Niamey,"1,437,000",121,2.5988
Nigeria,230842743,122346654,88181928,4155169,230000,0,50000,147,14,24,20,27,9,0,53,15,343,6404,32,339,37,133,0,0,0,0,1,0,109,2,4000000000,27000000000,1050000000000,37750000000,54,65116000,4,832,3798,195000,1647000,485000,37000000000,46296835000.0,18787602000.0,5760883000000.0,44000.0,85000,344000000.0,923768,853,4477,8600,NGA,Abuja,"3,840,000",39,0.5619
North Korea,26072217,9385998,5266588,417155,1320000,560000,100000,951,440,132,1,173,0,0,205,20,5845,24696,4500,4500,2920,505,0,0,35,0,1,4,169,1,3500000000,5000000000,40000000000,5000000000,82,17160000,7,270,7435,25554,0,20500,0,0.0,0.0,0.0,16376000.0,6698000,600000000.0,120538,2495,1607,2250,PRK,Pyongyang,"3,158,000",36,0.5313
North Macedonia,2133410,947234,782961,27734,9000,60000,3500,20,0,0,0,10,0,0,10,4,23,2156,0,191,24,0,0,0,0,0,0,0,0,0,295015800,10000000000,34007000000,4129000000,10,916200,0,0,699,14182,0,23000,0,0.0,218917000.0,0.0,5026000.0,5211000,332000000.0,25713,0,838,0,MKD,Skopje,"611,000",110,2.1717
Norway,5597924,2239170,1836119,72773,23250,0,40000,102,0,30,4,26,5,0,37,0,36,7048,56,0,0,25,0,0,6,0,4,6,17,6,8326314600,651040000000,368151000000,84271000000,95,2971000,11,1710,3848,94902,2026000,216000,8122200000,112052523000.0,3980351000.0,1544455000000.0,69000.0,1130000,2000000.0,323802,25148,2566,1577,NOR,Oslo,"1,086,000",41,0.5664
Oman,3833465,1456717,1268877,49835,42600,100000,10000,128,29,10,9,45,4,0,31,0,154,5019,24,141,0,22,0,0,0,0,0,5,12,0,7878000000,46270000000,155028000000,19731000000,132,2259000,5,57,0,60230,980000,235000,5375000000,36596746000.0,24279419000.0,651286000000.0,0.0,115000,0.0,309500,2092,1561,0,OMN,Muscat,"1,650,000",78,1.4448
Pakistan,247653551,106491027,84202207,4705417,654000,550000,500000,1434,387,90,60,549,25,4,352,57,3742,50523,752,3238,602,114,0,0,8,2,9,7,69,3,6349876689,110000000000,1211000000000,22812000000,151,73133000,2,58,11881,264175,101000,495000,540000000,38056250000.0,48391627000.0,592218000000.0,4855000.0,21012000,3064000000.0,796095,1046,7257,0,PAK,Islamabad,"1,232,000",9,0.1711
Panama,4404108,1981849,1189109,52849,0,0,80000,38,0,0,13,4,0,0,21,0,0,524,0,0,0,45,0,0,0,0,0,0,14,0,740000000,101393000000,126352000000,6158500000,117,1966000,3,8025,77,11978,0,145000,0,0.0,552744000.0,0.0,0.0,1118000,0.0,75420,2490,687,800,PAN,Panama City,"1,977,000",134,3.3388
Paraguay,7439863,3496736,2968505,148797,15650,168500,15000,41,0,0,11,15,1,0,14,0,10,1936,0,28,0,69,0,0,0,0,0,0,60,0,350000000,16622000000,91759000000,9661000000,799,3430000,4,105,30,78811,2000,57000,0,0.0,0.0,0.0,0.0,0,0.0,406752,0,4655,3100,PRY,Asuncion,"3,511,000",85,1.7053
Peru,32440172,15571283,12619227,616363,120000,385000,60000,258,16,22,40,71,12,0,95,16,261,7896,12,286,73,69,0,0,4,0,7,8,13,0,2014000000,81333000000,421937000000,69304500000,191,18352000,8,101,1855,18699,123000,265500,860000000,12079211000.0,8278048000.0,300158000000.0,696000.0,396000,102000000.0,1285216,2414,7062,8808,PER,Lima,"11,204,000",53,0.8475
Philippines,116434200,50066706,41101273,2095816,150000,1200000,35000,195,0,25,25,24,8,0,115,2,10,7562,12,289,0,111,0,0,0,0,2,1,50,0,4100000000,82000000000,921826000000,108755000000,247,44242000,5,1853,77,216387,10500,530000,140000000,3632507000.0,3632507000.0,98542000000.0,13752000.0,32855000,361000000.0,300000,36289,0,3219,PHL,Manila,"14,667,000",34,0.4691
Poland,37991766,18615965,15272690,455901,202100,350000,50000,468,59,34,49,107,9,0,215,30,612,13956,525,0,211,45,0,0,1,0,2,2,3,21,38360000000,351770000000,1318000000000,166030000000,126,18212000,4,149,19461,420000,28500,700000,115000000,5666815000.0,21463908000.0,91492000000.0,108152000.0,110674000,26932000000.0,312685,440,2845,3997,POL,Warsaw,"1,798,000",21,0.2917
Portugal,10467366,5233683,4029936,125608,24000,211700,24700,117,28,0,18,23,10,2,38,0,34,11173,24,82,0,113,0,0,2,0,5,2,20,0,4908900000,402000000000,482851000000,34084000000,136,5174000,10,835,3622,136635,12932,234700,22440000,0.0,4760000000.0,72000000000.0,0.0,10042,40000000.0,92090,1793,1224,764,PRT,Lisbon,"3,001,000",38,0.5609
Qatar,2532104,633026,486164,12661,66550,15000,5500,228,92,6,12,51,0,0,67,24,99,5544,46,12,16,123,0,0,0,0,0,4,20,0,14070000000,170000000000,249636000000,42213000000,6,1977000,3,123,0,7039,1815100,295000,25245000000,167460966000.0,37701809000.0,23860500000000.0,0.0,0,0.0,11586,563,87,0,QAT,Doha,"658,000",63,1.0789
Republic of the Congo,5677493,2100672,1260403,107872,8500,0,2500,14,2,0,4,0,0,0,8,1,32,519,2,35,72,6,0,0,0,0,0,0,0,0,350000000,5000000000,18875000000,735000000,27,2268000,6,11,510,23324,275000,13000,2882000000,1400209000.0,1400209000.0,283989000000.0,0.0,0,0.0,342000,169,5008,1120,COG,Brazzaville,"2,638,000",122,2.7282
Romania,18326327,9529690,7807015,201590,81300,55000,15000,131,14,0,12,42,2,0,67,0,345,9990,0,720,225,20,0,0,0,0,3,7,3,5,8160000000,120000000000,588451000000,51886000000,45,8381000,6,125,10628,84185,75000,222200,600000000,10367941000.0,11087528000.0,105480000000.0,15002000.0,16412000,291000000.0,238391,225,2844,1731,ROU,Bucharest,"1,776,000",47,0.7712
Russia,141698923,69432472,46477247,1275290,1320000,2000000,250000,4255,809,730,453,552,145,19,1547,559,14777,161382,6208,8356,3065,781,1,0,65,14,12,83,122,47,109000000000,500000000000,4078000000000,632242000000,1218,72444000,8,2917,85494,1283387,10750000,3700000,80000000000,701544189000.0,460612169000.0,47805215000000.0,447332000.0,266038000,162166000000.0,17098242,37653,22407,102000,RUS,Moscow,"11,920,000",2,0.0702
Saudi Arabia,35959806,18699099,17188787,611317,257000,0,150000,914,283,81,49,202,15,22,262,34,1485,20694,1236,2017,490,57,0,0,0,0,7,4,39,3,71720000000,205100000000,1594000000000,473890000000,214,16060000,5,413,5410,221372,10815700,3185000,260000000000,113776648000.0,113776648000.0,9422812000000.0,0.0,73000,0.0,2149690,2640,4272,0,SAU,Riyadh,"7,682,000",23,0.3235
Senegal,18384660,6986171,3989471,386078,17000,0,0,39,0,0,3,22,1,0,21,5,0,1104,0,20,6,4,0,0,0,0,0,0,10,0,335000000,10000000000,58991000000,808450000,20,4377000,1,35,906,16665,0,60000,0,60003000.0,60006000.0,0.0,0.0,894000,0.0,196722,531,2684,1000,SEN,Dakar,"3,340,000",130,2.9117
Serbia,6693375,3279754,2590336,80321,25000,2000,600000,112,11,17,2,38,0,0,44,4,262,3954,90,72,82,29,0,0,0,0,0,0,6,4,1500000000,32000000000,135534000000,18617000000,26,3176000,1,0,3333,44248,15200,80000,77500000,455787000.0,2619191000.0,48139000000.0,39673000.0,40830000,7514000000.0,77474,0,2322,587,SRB,Belgrade,"1,408,000",56,0.9038
Sierra Leone,8908040,1959769,1175861,44540,13000,0,0,4,0,0,0,0,0,0,4,2,0,100,0,0,0,10,0,0,0,0,0,0,7,0,242435118,1615000000,13597000000,945908000,8,2858000,3,605,0,11701,0,6000,0,0.0,0.0,0.0,0.0,0,0.0,71740,402,1093,800,SLE,Freetown,"1,309,000",138,3.5433
Singapore,5975383,3883999,2605267,65729,51000,252500,12000,247,100,0,9,36,9,11,87,18,170,8318,48,89,24,43,0,0,7,0,6,6,15,4,13493000000,1557646000000,578254000000,425098000000,9,3290000,1,3227,0,3500,0,1450000,0,0.0,13396282000.0,0.0,0.0,423000,0.0,719,193,0,0,SGP,Singapore,"6,081,000",30,0.4087
Slovakia,5425319,2766913,2294910,59679,19500,0,0,37,0,0,7,7,1,0,22,0,36,2048,35,9,25,0,0,0,0,0,0,0,0,0,2271750000,116000000000,173582000000,9610000000,35,2766000,2,0,3627,56926,4000,85200,9000000,62495000.0,4928199000.0,14158000000.0,2148000.0,5371000,135000000.0,49035,0,1587,172,SVK,Bratislava,"441,000",69,1.1891
Slovenia,2099790,1007899,827317,22888,7300,26000,5000,38,0,0,3,23,0,0,12,0,55,1502,0,18,0,2,0,0,0,0,0,0,2,0,1144225600,50000000000,84400000000,2267000000,16,1036000,1,9,1207,38985,0,55000,0,4899000.0,904439000.0,0.0,3175000.0,3502000,371000000.0,20273,47,1211,710,SVN,Ljubljana,"286,000",91,1.8286
Somalia,12693796,2919573,1751744,126938,15000,0,2000,0,0,0,0,0,0,0,0,0,0,1856,0,0,0,11,0,0,0,0,0,0,11,0,457680000,5300000000,19399000000,15225000,52,3042000,2,4,0,15000,0,6000,0,0.0,0.0,5663000000.0,0.0,0,0.0,637657,3025,2385,0,SOM,Mogadishu,"2,610,000",142,3.9006
South Africa,58048332,26702233,14395986,986822,71235,29350,50000,194,2,0,16,79,6,0,91,12,195,12140,49,104,101,47,0,0,3,0,4,0,31,2,2695346150,180000000000,790625000000,57597000000,407,22398000,6,107,20986,750000,100000,623000,15000000,1229544000.0,4771551000.0,0.0,248388000.0,170308000,9893000000.0,1219090,2798,5244,0,ZAF,Pretoria,"2,818,000",33,0.4632
South Korea,51966948,25983474,21306449,415736,600000,3100000,120000,1576,354,98,41,288,33,4,758,112,2501,66492,3189,4863,581,200,0,2,22,13,17,5,35,14,44700000000,457745000000,2289000000000,463281000000,111,28674000,11,2063,3979,100428,40000,2600000,0,240042000.0,53419105000.0,7079000000.0,16364000.0,140579000,326000000.0,99720,2413,237,1600,KOR,Seoul,"9,988,000",5,0.1416
South Sudan,12118379,6059190,3877881,315078,185000,0,0,16,0,0,1,0,0,0,15,6,55,1920,20,0,10,0,0,0,0,0,0,0,0,0,302828617,2250000000,20010000000,128307400,89,4278000,0,0,248,90200,160000,13000,3750000000,0.0,0.0,0.0,0.0,0,0.0,644329,0,6018,0,SSD,Juba,"459,000",119,2.4376
Spain,47222613,21722402,17614035,330558,133282,15150,78470,513,139,12,54,174,13,0,121,17,327,15046,96,140,0,168,0,1,3,0,11,0,23,6,22000000000,2338853000000,1798000000000,92201000000,135,23382000,12,494,15489,683175,50000,1328000,150000000,57990000.0,32030000000.0,2549000000.0,546000.0,4918000,1187000000.0,505370,4964,1953,1000,ESP,Madrid,"6,751,000",20,0.2882
Sri Lanka,23588613,11322534,9175970,330241,346000,90000,0,86,5,0,15,8,3,0,55,9,182,3708,0,175,32,270,0,0,0,0,5,0,59,0,1292291226,55332000000,296595000000,3137000000,18,8268000,1,92,1562,114093,0,131100,0,0.0,0.0,0.0,0.0,2237000,0.0,65610,1340,0,160,LKA,Colombo,"633,000",75,1.3459
Sudan,49197555,26074704,16677971,1279136,92000,85000,17500,170,45,32,14,15,0,0,64,35,233,3648,75,125,343,12,0,0,0,0,0,0,10,0,300000000,56050000000,168980000000,187967000,67,12921000,1,15,7251,31000,67000,138000,5000000000,0.0,0.0,84950000000.0,0.0,0,0.0,1861484,853,6819,4068,SDN,Khartoum,"6,344,000",76,1.4119
Suriname,639759,140747,83169,3199,2000,0,200,3,0,0,0,0,0,0,3,0,0,650,0,0,0,16,0,0,0,0,0,0,16,0,32835000,2000000000,9052000000,992257000,55,244200,2,10,0,4304,15000,16000,90000000,0.0,0.0,0.0,0.0,0,0.0,163820,386,1907,1200,SUR,Paramaribo,"239,000",143,3.9038
Sweden,10536338,4214535,3540210,105363,24400,32900,25000,212,71,0,6,76,5,1,53,0,120,7958,26,0,0,353,0,0,5,0,0,7,298,8,11349506000,911317000000,574877000000,62053000000,231,5556000,11,368,10910,573134,11000,300000,0,0.0,1275785000.0,0.0,1070000.0,3328000,1000000.0,450295,3218,2211,2052,SWE,Stockholm,"1,700,000",29,0.4009
Switzerland,8563760,3768054,3057262,94201,101584,49715,5000,147,43,0,16,44,3,0,41,0,134,4304,133,0,0,0,0,0,0,0,0,0,0,0,9300000000,2000000000000,618228000000,1110000000000,63,4963000,1,20,5296,71557,300,220000,0,0.0,3616169000.0,0.0,0.0,150000,0.0,41277,0,1770,1292,CHE,Bern,"441,000",43,0.6097
Syria,22933531,14677460,12728110,642139,170000,50000,50000,452,168,57,5,67,2,0,153,27,2720,14550,295,2400,614,47,0,0,0,0,0,0,33,7,1440400000,5000000000,50280000000,455950000,90,6143000,3,22,2052,69873,81000,140000,2500000000,3531077000.0,351077000.0,240693000000.0,0.0,38000,0.0,187437,193,2363,900,SYR,Damascus,"2,585,000",60,1.0026
Taiwan,23588613,12266079,1061488,306652,215000,2310000,55000,750,286,0,19,220,18,0,236,91,1010,19868,300,1120,223,93,0,0,4,4,22,2,43,14,19100000000,190000000000,1143000000000,447850000000,37,11498000,6,450,1613,43206,800,1000000,2400000,150589000.0,22002493000.0,6230000000.0,5955000.0,67985000,1000000.0,35980,1566,0,0,TWN,Taipei,"2,754,000",24,0.3302
Tajikistan,9245937,4253131,3356275,157181,9500,600000,20000,25,0,0,1,4,0,0,20,6,80,4650,35,55,45,0,0,0,0,0,0,0,0,0,96206000,6500000000,38058000000,2499000000,24,2500000,0,0,680,30000,300,26200,12000000,18208000.0,157611000.0,5663000000.0,2103000.0,2160000,375000000.0,144100,0,4130,200,TJK,Dushanbe,"987,000",107,2.1265
Tanzania,65642682,11815683,6498626,590784,27000,80000,6500,39,14,0,6,7,0,0,12,0,21,712,0,0,0,12,0,0,0,0,0,0,10,0,1870000000,22054000000,159326000000,5175500000,166,29863000,2,322,4097,145203,0,53000,0,1378773000.0,1378773000.0,6513000000.0,712000.0,577000,269000000.0,947300,1424,4161,0,TZA,Dar es Salaam,"7,776,000",103,2.0587
Thailand,69794997,36293398,27917999,1116720,360850,200000,25000,501,73,18,50,154,20,0,231,7,648,14040,50,589,26,293,0,1,0,0,7,6,49,5,7700000000,170000000000,1223000000000,246025000000,101,40213000,5,829,4127,180053,440000,1285000,252800000,38420517000.0,54802466000.0,138243000000.0,13251000.0,35761000,1063000000.0,513120,3219,5673,4000,THA,Bangkok,"11,070,000",25,0.3389
Tunisia,11976182,5988091,5149758,203595,89800,0,12000,155,10,0,10,34,0,0,101,0,140,6400,48,60,0,52,0,0,0,0,0,0,36,0,1260630000,36000000000,127509000000,8846000000,29,4226000,5,70,2173,20000,45000,110000,425000000,1025974000.0,5279951000.0,65129000000.0,0.0,5000,0.0,163610,1148,1495,0,TUN,Tunis,"2,475,000",74,1.2881
Turkey,83593483,42716270,35861604,1421089,355200,378700,150000,1069,205,0,83,275,22,7,502,111,2231,55104,1038,1747,286,186,0,0,12,0,16,9,34,11,40000000000,455000000000,2668000000000,109535000000,98,32554000,10,1237,11497,67333,70500,990000,366000000,469464000.0,44605473000.0,3794000000.0,78871000.0,108271000,11525000000.0,783562,7200,2816,1200,TUR,Ankara,"5,397,000",8,0.1697
Turkmenistan,5690818,2742974,2225110,108126,36500,0,3500,90,24,28,5,7,0,0,26,10,680,8312,73,457,160,44,0,0,0,0,0,3,31,0,859370000,540000000,92331000000,24980000000,26,1998000,1,72,5113,58592,235300,155000,600000000,83622908000.0,45398541000.0,11326720000000.0,0.0,0,0.0,488100,1768,4158,1300,TKM,Ashgabat,"902,000",83,1.4906
Uganda,47729952,16228184,9593720,954599,45000,0,10000,55,11,0,2,16,0,0,26,6,130,3162,6,26,12,0,0,0,0,0,0,0,0,0,891660000,14000000000,103007000000,3654000000,47,16995000,3,0,1244,20544,0,41000,2500000000,0.0,0.0,14158000000.0,0.0,0,0.0,241038,0,2729,0,UGA,Kampala,"3,846,000",114,2.2405
Ukraine,43306477,22086303,15460412,476371,900000,1200000,100000,321,72,30,24,73,3,0,130,33,1777,22110,1205,1012,491,104,0,0,0,0,0,0,33,3,42000000000,120000000000,379893000000,30697000000,187,20463000,6,410,21733,169694,60000,250000,395000000,19511040000.0,26413486000.0,1104355000000.0,23908000.0,41181000,34375000000.0,603550,2782,5581,1672,UKR,Kyiv,"2,884,000",18,0.2598
United Arab Emirates,9973449,5784600,4916910,79788,65000,130000,12000,560,99,18,37,157,25,3,246,30,354,12253,183,99,162,79,0,0,0,0,0,9,38,2,15500000000,240000000000,653067000000,131117000000,43,6074000,8,636,0,4080,3770000,865000,100000000000,62889064000.0,73750936000.0,6090887000000.0,0.0,2563000,0.0,83600,1318,1066,0,ARE,Abu Dhabi,"1,567,000",51,0.8083
United Kingdom,68138484,31343703,25074962,749523,184860,924000,0,664,120,29,31,219,26,9,276,52,213,27203,71,126,41,117,2,0,10,6,11,0,26,9,62816382000,8721590000000,3136000000000,194181000000,460,34637000,16,1174,16390,394428,890500,1580000,2500000000,32482541000.0,75969895000.0,180661000000.0,2892000.0,9401000,26000000.0,243610,12429,443,3200,GBR,London,"9,648,000",6,0.1443
United States,339665118,149452652,123977768,4415647,1328000,799500,0,13209,1854,896,957,2648,695,606,5737,1000,4657,360069,1595,1267,694,472,11,9,64,75,0,23,5,8,831781000000,20275951000000,21132000000000,716152000000,13513,164797000,35,1815,293564,6586610,18000000,20555000,50000000000,967144362000.0,857542658000.0,13178780000000.0,495130000.0,441968000,228662000000.0,9826675,19924,12002,41009,USA,"Washington, D.C.","5,434,000",1,0.0699
